,N,F0,m,d_ms,d0,v0,prob,collision
528,9.0,-4004.0,1475.0,994.0,3.0,78.0,0.5,1.0
530,10.0,-4200.0,1119.0,1072.0,4.0,159.0,0.5,1.0
531,3.0,-2305.0,1738.0,1200.0,2.0,83.0,0.5,1.0
533,3.0,-3157.0,1136.0,862.0,3.0,153.0,0.5,1.0
534,9.0,-3438.0,1486.0,561.0,5.0,107.0,0.5,0.0
535,7.0,-4167.0,1277.0,1471.0,3.0,155.0,0.5,1.0
536,6.0,-280.0,1755.0,1105.0,2.0,61.0,0.5,1.0
537,11.0,-628.0,1183.0,923.0,2.0,146.0,0.5,1.0
538,7.0,-3810.0,1934.0,975.0,4.0,156.0,0.5,0.0
539,6.0,-2269.0,1702.0,662.0,2.0,136.0,0.5,1.0
541,7.0,-3689.0,1474.0,1265.0,4.0,115.0,0.5,0.0
545,5.0,-485.0,1354.0,956.0,3.0,140.0,0.5,1.0
546,3.0,-1186.0,1963.0,1411.0,3.0,92.0,0.5,1.0
548,7.0,-2036.0,1037.0,1046.0,4.0,105.0,0.5,0.0
549,11.0,-192.0,1552.0,726.0,5.0,101.0,0.5,0.0
550,10.0,-3255.0,1101.0,588.0,2.0,110.0,0.5,1.0
551,11.0,-724.0,1368.0,519.0,5.0,154.0,0.5,0.0
553,11.0,-1232.0,1027.0,1048.0,3.0,81.0,0.5,1.0
554,10.0,-2809.0,1731.0,1100.0,2.0,137.0,0.5,1.0
555,7.0,-2787.0,1576.0,972.0,5.0,129.0,0.5,0.0
556,3.0,-4056.0,1430.0,1450.0,2.0,73.0,0.5,1.0
558,9.0,-3530.0,1341.0,870.0,3.0,122.0,0.5,1.0
560,5.0,-499.0,1207.0,950.0,5.0,111.0,0.5,0.0
561,5.0,-4332.0,1938.0,1355.0,4.0,99.0,0.5,0.0
562,10.0,-4988.0,1668.0,905.0,3.0,84.0,0.5,0.0
564,8.0,-4984.0,1089.0,806.0,2.0,81.0,0.5,1.0
